year,global_avg_temp,city_avg_temp
1849,7.98,15.71
1850,7.90,15.28
1851,8.18,15.53
1852,8.10,15.61
1853,8.04,16.27
1854,8.21,15.74
1855,8.11,15.94
1855,8.11,10.20
1856,8.00,15.52
1856,8.00,12.01
1857,7.76,16.19
1857,7.76,12.06
1858,8.10,15.67
1858,8.10,12.13
1859,8.25,15.29
1859,8.25,12.39
1860,7.96,15.41
1860,7.96,12.07
1861,7.85,16.51
1861,7.85,11.89
1862,7.56,16.05
1862,7.56,11.65
1863,8.11,15.88
1863,8.11,11.49
1864,7.98,16.62
1864,7.98,12.00
1865,8.18,15.89
1865,8.18,12.43
1866,8.29,16.33
1866,8.29,12.31
1867,8.44,16.51
1867,8.44,12.17
1868,8.25,16.09
1868,8.25,12.15
1869,8.43,16.05
1869,8.43,12.01
1870,8.20,15.64
1870,8.20,11.87
1871,8.12,15.89
1871,8.12,11.68
1872,8.19,15.66
1872,8.19,11.69
1873,8.35,15.70
1873,8.35,12.27
1874,8.43,15.33
1874,8.43,12.06
1875,7.86,16.19
1875,7.86,11.92
1876,8.08,15.70
1876,8.08,12.39
1877,8.54,16.24
1877,8.54,12.91
1878,8.83,15.44
1878,8.83,12.50
1879,8.17,15.55
1879,8.17,12.71
1880,8.12,14.36
1880,8.12,12.56
1881,8.27,15.65
1881,8.27,12.12
1882,8.13,14.85
1882,8.13,12.35
1883,7.98,15.52
1883,7.98,11.99
1884,7.77,15.28
1884,7.77,11.93
1885,7.92,16.44
1885,7.92,11.62
1886,7.95,15.74
1886,7.95,12.05
1887,7.91,15.62
1887,7.91,12.02
1888,8.09,15.91
1888,8.09,12.34
1889,8.32,16.22
1889,8.32,11.54
1890,7.97,15.80
1890,7.97,12.12
1891,8.02,15.63
1891,8.02,12.40
1892,8.07,15.33
1892,8.07,12.00
1893,8.06,14.95
1893,8.06,12.09
1894,8.16,14.83
1894,8.16,12.31
1895,8.15,15.36
1895,8.15,12.35
1896,8.21,16.10
1896,8.21,12.97
1897,8.29,15.32
1897,8.29,12.44
1898,8.18,15.65
1898,8.18,11.76
1899,8.40,15.59
1899,8.40,12.91
1900,8.50,16.08
1900,8.50,12.68
1901,8.54,15.72
1901,8.54,12.61
1902,8.30,15.08
1902,8.30,12.37
1903,8.22,15.49
1903,8.22,12.13
1904,8.09,16.24
1904,8.09,12.94
1905,8.23,15.52
1905,8.23,12.66
1906,8.38,15.74
1906,8.38,12.53
1907,7.95,15.46
1907,7.95,12.02
1908,8.19,15.17
1908,8.19,12.55
1909,8.18,15.01
1909,8.18,12.20
1910,8.22,15.94
1910,8.22,11.78
1911,8.18,14.82
1911,8.18,12.33
1912,8.17,14.84
1912,8.17,12.52
1913,8.30,15.20
1913,8.30,12.87
1914,8.59,15.65
1914,8.59,12.40
1915,8.59,15.43
1915,8.59,12.31
1916,8.23,14.60
1916,8.23,11.91
1917,8.02,15.59
1917,8.02,12.67
1918,8.13,15.65
1918,8.13,12.19
1919,8.38,15.34
1919,8.38,12.76
1920,8.36,15.06
1920,8.36,12.47
1921,8.57,15.76
1921,8.57,12.10
1922,8.41,15.31
1922,8.41,12.41
1923,8.42,15.39
1923,8.42,11.99
1924,8.51,15.69
1924,8.51,12.46
1925,8.53,15.72
1925,8.53,12.31
1926,8.73,16.60
1926,8.73,12.77
1927,8.52,15.41
1927,8.52,12.53
1928,8.63,15.98
1928,8.63,12.31
1929,8.24,16.10
1929,8.24,12.38
1930,8.63,15.99
1930,8.63,13.29
1931,8.72,16.60
1931,8.72,12.71
1932,8.71,15.40
1932,8.71,12.83
1933,8.34,15.40
1933,8.34,12.34
1934,8.63,17.03
1934,8.63,12.44
1935,8.52,15.50
1935,8.52,12.89
1936,8.55,16.60
1936,8.55,12.53
1937,8.70,15.68
1937,8.70,12.53
1938,8.86,15.89
1938,8.86,12.09
1939,8.76,16.30
1939,8.76,12.93
1940,8.76,16.53
1940,8.76,13.08
1941,8.77,15.62
1941,8.77,12.65
1942,8.73,15.77
1942,8.73,12.73
1943,8.76,16.12
1943,8.76,13.14
1944,8.85,15.03
1944,8.85,13.15
1945,8.58,15.70
1945,8.58,13.24
1946,8.68,15.65
1946,8.68,12.70
1947,8.80,15.98
1947,8.80,12.75
1948,8.75,15.09
1948,8.75,12.58
1949,8.59,15.36
1949,8.59,12.75
1950,8.37,16.20
1950,8.37,12.62
1951,8.63,15.76
1951,8.63,13.10
1952,8.64,15.33
1952,8.64,13.21
1953,8.87,15.68
1953,8.87,12.81
1954,8.56,16.05
1954,8.56,12.61
1955,8.63,15.34
1955,8.63,12.32
1956,8.28,15.70
1956,8.28,12.49
1957,8.73,15.80
1957,8.73,12.85
1958,8.77,16.70
1958,8.77,12.90
1959,8.73,17.05
1959,8.73,12.59
1960,8.58,16.31
1960,8.58,13.15
1961,8.80,16.21
1961,8.80,12.73
1962,8.75,15.62
1962,8.75,13.10
1963,8.86,15.73
1963,8.86,12.81
1964,8.41,15.28
1964,8.41,12.72
1965,8.53,15.34
1965,8.53,13.00
1966,8.60,15.99
1966,8.60,12.54
1967,8.70,15.92
1967,8.70,12.51
1968,8.52,15.89
1968,8.52,13.14
1969,8.60,15.79
1969,8.60,12.65
1970,8.70,16.00
1970,8.70,12.70
1971,8.60,15.26
1971,8.60,12.52
1972,8.50,15.96
1972,8.50,12.87
1973,8.95,15.51
1973,8.95,12.40
1974,8.47,15.85
1974,8.47,12.38
1975,8.74,15.12
1975,8.74,12.70
1976,8.35,16.18
1976,8.35,12.57
1977,8.85,16.26
1977,8.85,13.47
1978,8.69,16.01
1978,8.69,13.34
1979,8.73,15.88
1979,8.73,13.04
1980,8.98,16.23
1980,8.98,13.29
1981,9.17,16.89
1981,9.17,13.23
1982,8.64,15.44
1982,8.64,13.34
1983,9.03,16.20
1983,9.03,13.00
1984,8.69,16.76
1984,8.69,12.57
1985,8.66,15.96
1985,8.66,13.35
1986,8.83,16.50
